category,model,title,highlight,description
Unmanaged Switches,GS305PP,300 Series SOHO Unmanaged Switch (GS305PP),5-Port Gigabit Ethernet SOHO Unmanaged Switch with 4-Ports PoE+ (83W),"5-Port Gigabit Unmanaged switch with 4 PoE+ ports and 83W power budget to power Wireless AP, IP Cameras, IP Phones and more"
Unmanaged Switches,GS108MX,Gigabit Ethernet Unmanaged Switches (GS108MX),8-Port Gigabit Ethernet Unmanaged Switch with 1 dedicated 10G/Multi-Gig Port,.8 x Gigabit Ethernet ports.1 x 10G/Multi-Gig port.Energy Efficient Ethernet for maximum power savings.Fanless and silent.Desktop or wall-mount.
Unmanaged Switches,GS108X,Gigabit Ethernet Unmanaged Switches (GS108X),8-Port Gigabit Ethernet Unmanaged Switch with 1 dedicated 10G SFP+ Port,.8 x Gigabit Ethernet ports.1 x 10G SFP+ Fiber port.Energy Efficient Ethernet for maximum power savings.Fanless and silent.Desktop or wall-mount.
Unmanaged Switches,MS105,Multi-Gigabit Ethernet Switch (MS105),NETGEAR 5-Port Multi-Gigabit (2.5G) Ethernet Unmanaged Switch,"The NETGEAR 5-port Multi-Gigabit Unmanaged Switch, MS105, helps businesses cost-effectively expand their networks with multi-gig speeds. The MS105 Multi-Gigabit Ethernet switch comes with five (5) 2.5G ports in a metal case and can be placed on a desk or mounted on a wall with the included wall mount kit. This switch is energy efficient, built to last, and rigorously tested to provide the reliability businesses need. 802.1p traffic prioritization and jumbo frame support allow for seamless integration with more sophisticated networks."
Unmanaged Switches,MS305,Multi-Gigabit Ethernet Switch (MS305),NETGEAR 5-Port Multi-Gigabit (2.5G) Ethernet Unmanaged Switch,"The NETGEAR 5-port Multi-Gigabit Unmanaged Switch, MS305, helps businesses cost-effectively expand their networks with multi-gig speeds. The MS305 Multi-Gigabit Ethernet switch comes with five (5) 2.5G ports in a metal case and can be placed on a desk or mounted on a wall with the included wall mount kit. This switch is energy efficient, built to last, and rigorously tested to provide the reliability businesses need. 802.1p traffic prioritization and jumbo frame support allow for seamless integration with more sophisticated networks."
Unmanaged Switches,MS308,Multi-Gigabit Ethernet Switch (MS308),NETGEAR 8-Port 2.5G Multi-Gigabit Ethernet Unmanaged Switch,"The NETGEAR 8-port 2.5G Multi-Gigabit Unmanaged Switch, MS308, offers businesses an affordable solution to upgrade their networks to multi-gig speeds. Featuring eight (8) 2.5G ports encased in durable metal, the MS308 Multi-Gigabit Ethernet Switch is designed for versatility—it can be placed on a desk, mounted on a wall, or under a table using the included kit."
Unmanaged Switches,GS105,Gigabit Unmanaged Switch Series (GS105),5-Port Gigabit Ethernet Unmanaged Switch,"Get networks up and running with plug-and-play unmanaged switches. Set it and forget it, energy-efficient switches are built like tanks and last for decades."
Unmanaged Switches,GS108,Gigabit Unmanaged Switch Series (GS108),8-Port Gigabit Ethernet Unmanaged Switch,"Get networks up and running with plug-and-play unmanaged switches. Set it and forget it, energy-efficient switches are built like tanks and last for decades."
Unmanaged Switches,GS108PP,Gigabit Unmanaged Switch Series (GS108PP),8-Port Gigabit Ethernet High-power PoE+ Unmanaged Switch with FlexPoE (123W),"8 PoE+ ports with 123W total power budget, and includes NETGEAR FlexPoE allowing to reduce the power budget to 83W or even 60W (w/separately purchased power supply modules)"
Unmanaged Switches,GS116PP,Gigabit Unmanaged Switch Series (GS116PP),16-Port Gigabit Ethernet High-Power Unmanaged PoE+ Switch with FlexPoE (183W),"16 PoE+ ports with 183W total power budget, and includes NETGEAR FlexPoE allowing to reduce the power budget to 155W or even 76W (w/separately purchased power supply modules)"
Unmanaged Switches,GS524PP,Gigabit Unmanaged Switch Series (GS524PP),24-Port Gigabit Ethernet High-Power PoE+ Unmanaged Switch (300W),"Simple plug-and-play, with more than enough to power the entire network. 24 high-power PoE+ ports with a large budget to keep your devices always-ready."
Unmanaged Switches,GS324v2,SOHO Ethernet Unmanaged (GS324v2),24-Port Gigabit Ethernet Unmanaged Switch,"Get networks up and running with plug-and-play unmanaged switches. Set it and forget it, energy-efficient switches are built like tanks and last for decades."
Unmanaged Switches,MS108UP,Multi-Gigabit Ethernet Unmanaged Switch (MS108UP),8-port Multi-Gigabit (2.5G) Ultra60 PoE++ Ethernet Unmanaged Switch,"Provides 8 ports 1G/2.5G with 4 PoE+ ports and 4 Ultra60 PoE++ ports making it a perfect switch for WiFi 6 AP connectivity, IP surveillance and more."
Unmanaged Switches,GS316P,300 Series SOHO Unmanaged Switch (GS316P),16-Port Gigabit Ethernet Unmanaged PoE+ Switch with FlexPoE (115W),"16 PoE+ ports with 115W power budget. Unmanaged 300-Series PoE Switches are easy, reliable, and affordable network connectivity for home and small offices. Providing power and data from a single Ethernet cable"
Unmanaged Switches,XS508M,10-Gigabit/Multi-Gigabit (XS508M),"8-port, 5-speed Unmanaged Switch 10-Gigabit/Multi-Gigabit","The XS505M and XS508M come with copper Ethernet 5-speed ports that provide either FastEthernet, 1-Gigabit, 2.5-Gigabit, 5-Gigabit or 10-Gigabit connectivity, as well as 1 SFP+ Fiber port with 1-Gigabit or 10-Gigabit connectivity. Each port automatically detects which speed is needed."
Unmanaged Switches,GS324p,SOHO Ethernet Unmanaged (GS324P),24-Port Gigabit Ethernet Unmanaged Switch with 16-Ports PoE+ (190W),"16 PoE+ ports with 190W power budget. Unmanaged 300-Series PoE Switches are easy, reliable, and affordable network connectivity for home and small offices. Providing power and data from a single Ethernet cable"
Unmanaged Switches,GS308PP,300 Series SOHO Unmanaged Switch (GS308PP),8-Port Gigabit Ethernet SOHO PoE+ Unmanaged Switch (83W),"8 PoE+ ports with 83W total power budget, and includes NETGEAR FlexPoE making it expandable to 123W (w/separately purchased power supply module)"
