category,count_for,count
Unmanaged Switches,highlight,"[('switch', 34), ('unmanaged', 33), ('ethernet', 32), ('gigabit', 28), ('poe+', 17), ('5-port', 10), ('8-port', 10), ('high-power', 7), ('soho', 6), ('flexpoe', 6), ('16-port', 6), ('24-port', 5), ('multi-gigabit', 4), ('2.5g', 4), ('4-ports', 3), ('83w', 3), ('port', 3), ('netgear', 3), ('poe++', 3), ('5-speed', 3)]"
Unmanaged Switches,description,"[('power', 34), ('ports', 26), ('unmanaged', 19), ('budget', 19), ('poe+', 17), ('switch', 16), ('switches', 16), ('ethernet', 15), ('plug-and-play', 12), ('networks', 11), ('network', 11), ('netgear', 10), ('connectivity', 10), ('ip', 7), ('built', 7), ('last', 7), ('devices', 7), ('gigabit', 6), ('multi-gigabit', 6), ('affordable', 6)]"
Plus Switches,highlight,"[('switch', 18), ('plus', 17), ('ethernet', 14), ('gigabit', 13), ('8-port', 7), ('5-port', 5), ('poe+', 5), ('2.5g', 3), ('multi-gigabit', 3), ('16-port', 3), ('netgear', 2), ('sfp', 2), ('port', 2), ('24-port', 2), ('12-port', 2), ('poe', 2), ('sfp+', 2), ('ports', 2), ('ultra60', 1), ('poe++', 1)]"
Plus Switches,description,"[('plus', 11), ('network', 11), ('ethernet', 10), ('netgear', 10), ('ip', 9), ('devices', 9), ('poe+', 8), ('switch', 8), ('gigabit', 8), ('features', 8), ('voip', 8), ('switches', 8), ('ports', 7), ('connectivity', 6), ('networking', 6), ('phones', 6), ('cameras', 6), ('affordable', 6), ('power', 6), ('8-port', 5)]"
Smart Switches,highlight,"[('smart', 28), ('switch', 28), ('ports', 26), ('ethernet', 25), ('gigabit', 19), ('poe+', 17), ('sfp', 16), ('management', 14), ('w/', 12), ('optional', 12), ('remote/cloud', 12), ('sfp+', 10), ('24-port', 8), ('8-port', 8), ('380w', 7), ('dedicated', 7), ('48-port', 7), ('190w', 6), ('24', 4), ('port', 4)]"
Smart Switches,description,"[('insight', 19), ('smart', 15), ('switch', 14), ('subscription', 14), ('included', 14), ('designed', 12), ('converged', 12), ('networks', 12), ('big', 12), ('small', 12), ('ports', 11), ('1-year', 10), ('standalone', 8), ('poe', 8), ('network', 8), ('netgear', 7), ('management', 7), ('power', 6), ('cloud', 5), ('lite', 5)]"
Smart Cloud Switches,highlight,"[('smart', 23), ('switch', 23), ('ports', 22), ('ethernet', 20), ('gigabit', 17), ('sfp', 14), ('poe+', 14), ('management', 14), ('w/', 12), ('optional', 12), ('remote/cloud', 12), ('sfp+', 7), ('380w', 7), ('24-port', 6), ('8-port', 6), ('48-port', 6), ('190w', 4), ('24', 4), ('port', 4), ('ultra60', 3)]"
Smart Cloud Switches,description,"[('insight', 20), ('smart', 14), ('switch', 14), ('subscription', 14), ('included', 14), ('designed', 12), ('converged', 12), ('networks', 12), ('big', 12), ('small', 12), ('ports', 11), ('1-year', 10), ('standalone', 8), ('cloud', 7), ('management', 7), ('netgear', 5), ('power', 5), ('network', 5), ('lite', 4), ('dedicated', 4)]"
PoE Switches,highlight,"[('switch', 43), ('poe+', 32), ('ethernet', 23), ('gigabit', 22), ('managed', 17), ('unmanaged', 16), ('poe++', 12), ('high-power', 8), ('8-port', 8), ('smart', 8), ('ports', 8), ('base', 7), ('24-port', 6), ('380w', 6), ('16-port', 6), ('flexpoe', 6), ('sfp', 6), ('2x1g', 6), ('24x1g', 5), ('w/', 5)]"
PoE Switches,description,"[('power', 44), ('ports', 39), ('budget', 32), ('av', 32), ('poe', 28), ('poe+', 20), ('supply', 17), ('hardware', 14), ('ip', 14), ('includes', 13), ('providing', 11), ('switch', 11), ('provides', 10), ('functionality', 10), ('reach', 9), ('network', 9), ('engineered', 9), ('1g', 9), ('rear-facing', 9), ('clean', 9)]"
